,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary,Hourly
518,Data Scientist,"$105,050 /yr (est.)","The Role: Data Scientist

The Location: Office in Colorado, open to virtual employment

The Level: 10 (internal purposes)

The Team: The S&P Global Ratings Data Science team combines automation, machine learning, and data engineering to improve the delivery of Ratings data & content to our analysts and customers. The team sits within the organizations Operating Office and works in close partnership with all teams throughout the organization.

You will be a part of key transformation projects aiming to streamline and automate our data processes: sourcing, collection, tagging, linking, extraction, translation, and other manual processes.

In doing so, you will build relationships across the division to generate and unlock new and existing data for content delivery through technological advancements using intelligent automation, data science, and coding design principles.

Projects will span the entirety of the data and content value chain enhancing customer satisfaction, and driving business results and growth through the timely and accurate delivery of fundamentals, ratings and reference data.

You will be a key member of the S&P Global Ratings Data Science team, playing a key role in developing intelligent automation solutions for our data and content generation processes. You will work with technology, business and operations teams in this role, driving and executing on automation improvement opportunities to expand our capabilities around making our data value chain processes more efficient.


S&P Global states that the anticipated base salary range for this position is $68,300 to $141,800. Base salary ranges may vary by geographic location.

In addition to base compensation, this role is eligible for an annual incentive plan.

This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .


Execute and serve as lead and/or SME on cross-organizational and cross-divisional projects automating our data value chain processes through automation, and new technologies

Design solutions and develop automation capabilities, such sourcing, collection, ingestion, extraction, transformation, translation, linking, and tagging

Mentor junior team members on coding best practices

Support digitization of datasets and accelerate digitization of new data identified by the Content and Data Operations teams

Serve as a source of knowledge for the Data Science team for process improvement, automation (Python, Alteryx, SQL, etc), and new technologies available to enable best-in-class timeliness and data coverage

Develop skills for ‘listening to learn’ with the express goal of understanding processes and associated problems which enable efficient, automated solutions

Review business processes and rules to understand potential repeatable processes and engage affected teams to consult on automation solutions

Be a strong partner with all the teams and stakeholders your projects and work involve

Monitor market trends in the data science/automation space identifying and onboarding new technologies and solutions to address business needs

Demonstrate innovation, customer focus, and experimentation mindsets


Python, SQL or other programming languages

DevOps/DataOps, Django, Algorithms/Algorithm design, NLP, Machine Learning, Data Mining, Docker, Linux, Process Engineering

Proven track record as a high-performing practitioner and strong executor, particularly in content-related domain

Strong domain knowledge & content expertise within Credit Rating Agencies a significant plus

Ability to quickly build credibility and relationships across multiple global teams

Ability to work effectively within and across teams, foster collaboration

Aptitude to communicate and deliver on projects, strong prioritization and organization skills

Strong communication skills. This includes translating technical details into concepts for non-technical audiences

Strong problem-solving skills. Able to quickly identify and understand issues and drive towards effective resolution

Experience as part of a team that leverages Agile

Strong familiarity with latest technologies to accelerate data operations

3-5 years of relevant experience

Bachelor's degree or equivalent experience required; advanced degree preferred

About S&P Global Ratings

S&P Global Ratings is the world’s leading provider of independent credit ratings. Our ratings are essential to driving growth, providing transparency and helping educate market participants so they can make decisions with confidence. We have more than 1 million credit ratings outstanding on government, corporate, financial sector and structured finance entities and securities. We offer an independent view of the market built on a unique combination of broad perspective and local insight. We provide our opinions and research about relative credit risk; market participants gain independent information to help support the growth of transparent, liquid debt markets worldwide.

SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/ratings .

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.


The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

#LI-MB1

IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

263209
2021-07-22
Centennial, Colorado, United States",4.1,S&P Global,Austin,-1,10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),-1,105050.0,0
519,Data Scientist,"$110,000 /yr (est.)","OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.

The Opportunity:
The AI Data Scientist will focus on business analysis, data analysis, and model building in support of the delivery of AI and Analytics to our OpenText teams. This individual will be a professional that is self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, dynamic environment.

You are great at:
Working with business teams in all parts of the business to gather conceptual business needs, translate them into clear functional business requirements
Create process models, diagrams, charts, PowerPoint presentations
Work with technical teams and/or study relational database tables to create Technical Data Requirements from the Business Requirements
Build data models in Python or R using a Magellan Notebook
Work with application support, product management, and engineering teams on quarterly upgrades and feature requests for Magellan product suite
Self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, matrixed environment
Perform data preparation, linkage, and feature selection
Calculating model accuracy
Reporting and visualizing results/insights
Provide end-user support and training as needed


Bachelor’s degree in Computer Science, Engineering, Business or equivalent experience
5 + years of proven abilities related to data analysis, reporting, analytics, and data modeling
Experience working with data in databases
Experience with SQL, Python, and R
Excellent listening, interpersonal, written, and oral communication skills
Experience with OpenText Magellan preferred
Experience working in a complex, matrix, fast-paced environment
Attention to detail with emphasis on accuracy and quality
Ability to prioritize work to balance multiple projects and deadlines
The ability to work independently, as part of a team, and cross-functionally within the organization

95K - 125K

While OpenText is an Equal Opportunity Employer, our efforts to build an inclusive work environment go beyond simply complying with applicable laws. Our Employment Equity and Diversity Policy provides direction on maintaining a working environment that is inclusive of everyone, regardless of culture, national origin, race, color, gender, gender identification, sexual orientation, family status, age, veteran status, disability, religion, or other basis protected by applicable laws. Should you require accommodations during the selection process, please contact accomodationrequests@opentext.com ).",3.6,opentext,Austin,-1,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,110000.0,0
533,Senior Data Scientist,"$112,500 /yr (est.)","Senior Data Scientist Job Description
Location: Based in Austin, TX
Travel: 0-20%
About Us:
At Valkyrie, we are scientists, innovators and strategists on a mission to advance the field of data science and put our cutting-edge technology to work on humanity's biggest challenges. We champion integrity, ingenuity and inclusion. We see opportunity in adversity and believe in creating a brighter, more human future with thoughtfully designed solutions. We seek leaders in the fields of science and strategy who think with both sides of their brains and are deeply committed to serving clients and their customers.
Senior Scientist Position:
The Senior Scientist is the right fit for a motivated scientist that is excited to be part of a growing business and is passionate about finding insights in data through the scientific method. We are looking for candidates who are interested in analyzing data, developing models based on that data and transforming the outputs of those models to valuable insights. As a Senior Scientist you should have good experience with algorithmic development, statistical analysis, machine learning, and some experience with database architecture. You have demonstrated scientific excellence and aptitude for innovation. Senior Scientist are responsible for model development and implementation, data architecture, prototyping, and ideation. You will be a part of the efforts to identify and analyze current and future data-centric technology patterns and trends, perform in-depth investigation, and experimentation with emerging platforms and frameworks. The right candidate for this role will be able to leverage statistical and programming knowledge to transform data into actionable insights.",4.8,Valkyrie Intelligence,Austin,-1,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,112500.0,0
543,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry.",3.8,"FireEye, Inc.",Austin,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
546,Data Scientist,"$165,000 /yr (est.)","Data Scientist ($160-170 yr) Must have professional experience as a Data Scientist
This is an opportunity to take part in doing BIG things for the advancement of ad technology and online advertising.You’ll lead the effort in analyzing large & complex datasets, using machine learning to identify key factors of ad campaign performances and focus on building better solutions using data.
The Data Science team builds applications and data-enabled solutions which includes online and offline data across multiple screens on mobile and desktop for video, social, search and display advertising.
You'll work with Big Data, driving projects that will have a significant impact; uncovering patterns and building predictions using data, algorithms, machine learning and AI techniques.",-1,"IdentifyUp, Inc.",Austin,-1,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,165000.0,0
548,Data Scientist,"$105,050 /yr (est.)","The Role: Data Scientist

The Location: Office in Colorado, open to virtual employment

The Level: 10 (internal purposes)

The Team: The S&P Global Ratings Data Science team combines automation, machine learning, and data engineering to improve the delivery of Ratings data & content to our analysts and customers. The team sits within the organizations Operating Office and works in close partnership with all teams throughout the organization.

You will be a part of key transformation projects aiming to streamline and automate our data processes: sourcing, collection, tagging, linking, extraction, translation, and other manual processes.

In doing so, you will build relationships across the division to generate and unlock new and existing data for content delivery through technological advancements using intelligent automation, data science, and coding design principles.

Projects will span the entirety of the data and content value chain enhancing customer satisfaction, and driving business results and growth through the timely and accurate delivery of fundamentals, ratings and reference data.

You will be a key member of the S&P Global Ratings Data Science team, playing a key role in developing intelligent automation solutions for our data and content generation processes. You will work with technology, business and operations teams in this role, driving and executing on automation improvement opportunities to expand our capabilities around making our data value chain processes more efficient.


S&P Global states that the anticipated base salary range for this position is $68,300 to $141,800. Base salary ranges may vary by geographic location.

In addition to base compensation, this role is eligible for an annual incentive plan.

This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .


Execute and serve as lead and/or SME on cross-organizational and cross-divisional projects automating our data value chain processes through automation, and new technologies

Design solutions and develop automation capabilities, such sourcing, collection, ingestion, extraction, transformation, translation, linking, and tagging

Mentor junior team members on coding best practices

Support digitization of datasets and accelerate digitization of new data identified by the Content and Data Operations teams

Serve as a source of knowledge for the Data Science team for process improvement, automation (Python, Alteryx, SQL, etc), and new technologies available to enable best-in-class timeliness and data coverage

Develop skills for ‘listening to learn’ with the express goal of understanding processes and associated problems which enable efficient, automated solutions

Review business processes and rules to understand potential repeatable processes and engage affected teams to consult on automation solutions

Be a strong partner with all the teams and stakeholders your projects and work involve

Monitor market trends in the data science/automation space identifying and onboarding new technologies and solutions to address business needs

Demonstrate innovation, customer focus, and experimentation mindsets


Python, SQL or other programming languages

DevOps/DataOps, Django, Algorithms/Algorithm design, NLP, Machine Learning, Data Mining, Docker, Linux, Process Engineering

Proven track record as a high-performing practitioner and strong executor, particularly in content-related domain

Strong domain knowledge & content expertise within Credit Rating Agencies a significant plus

Ability to quickly build credibility and relationships across multiple global teams

Ability to work effectively within and across teams, foster collaboration

Aptitude to communicate and deliver on projects, strong prioritization and organization skills

Strong communication skills. This includes translating technical details into concepts for non-technical audiences

Strong problem-solving skills. Able to quickly identify and understand issues and drive towards effective resolution

Experience as part of a team that leverages Agile

Strong familiarity with latest technologies to accelerate data operations

3-5 years of relevant experience

Bachelor's degree or equivalent experience required; advanced degree preferred

About S&P Global Ratings

S&P Global Ratings is the world’s leading provider of independent credit ratings. Our ratings are essential to driving growth, providing transparency and helping educate market participants so they can make decisions with confidence. We have more than 1 million credit ratings outstanding on government, corporate, financial sector and structured finance entities and securities. We offer an independent view of the market built on a unique combination of broad perspective and local insight. We provide our opinions and research about relative credit risk; market participants gain independent information to help support the growth of transparent, liquid debt markets worldwide.

SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/ratings .

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.


The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

#LI-MB1

IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

263209
2021-07-22
Centennial, Colorado, United States",4.1,S&P Global,Austin,-1,10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),-1,105050.0,0
549,Data Scientist,"$110,000 /yr (est.)","OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.

The Opportunity:
The AI Data Scientist will focus on business analysis, data analysis, and model building in support of the delivery of AI and Analytics to our OpenText teams. This individual will be a professional that is self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, dynamic environment.

You are great at:
Working with business teams in all parts of the business to gather conceptual business needs, translate them into clear functional business requirements
Create process models, diagrams, charts, PowerPoint presentations
Work with technical teams and/or study relational database tables to create Technical Data Requirements from the Business Requirements
Build data models in Python or R using a Magellan Notebook
Work with application support, product management, and engineering teams on quarterly upgrades and feature requests for Magellan product suite
Self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, matrixed environment
Perform data preparation, linkage, and feature selection
Calculating model accuracy
Reporting and visualizing results/insights
Provide end-user support and training as needed


Bachelor’s degree in Computer Science, Engineering, Business or equivalent experience
5 + years of proven abilities related to data analysis, reporting, analytics, and data modeling
Experience working with data in databases
Experience with SQL, Python, and R
Excellent listening, interpersonal, written, and oral communication skills
Experience with OpenText Magellan preferred
Experience working in a complex, matrix, fast-paced environment
Attention to detail with emphasis on accuracy and quality
Ability to prioritize work to balance multiple projects and deadlines
The ability to work independently, as part of a team, and cross-functionally within the organization

95K - 125K

While OpenText is an Equal Opportunity Employer, our efforts to build an inclusive work environment go beyond simply complying with applicable laws. Our Employment Equity and Diversity Policy provides direction on maintaining a working environment that is inclusive of everyone, regardless of culture, national origin, race, color, gender, gender identification, sexual orientation, family status, age, veteran status, disability, religion, or other basis protected by applicable laws. Should you require accommodations during the selection process, please contact accomodationrequests@opentext.com ).",3.6,opentext,Austin,-1,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,110000.0,0
563,Senior Data Scientist,"$112,500 /yr (est.)","Senior Data Scientist Job Description
Location: Based in Austin, TX
Travel: 0-20%
About Us:
At Valkyrie, we are scientists, innovators and strategists on a mission to advance the field of data science and put our cutting-edge technology to work on humanity's biggest challenges. We champion integrity, ingenuity and inclusion. We see opportunity in adversity and believe in creating a brighter, more human future with thoughtfully designed solutions. We seek leaders in the fields of science and strategy who think with both sides of their brains and are deeply committed to serving clients and their customers.
Senior Scientist Position:
The Senior Scientist is the right fit for a motivated scientist that is excited to be part of a growing business and is passionate about finding insights in data through the scientific method. We are looking for candidates who are interested in analyzing data, developing models based on that data and transforming the outputs of those models to valuable insights. As a Senior Scientist you should have good experience with algorithmic development, statistical analysis, machine learning, and some experience with database architecture. You have demonstrated scientific excellence and aptitude for innovation. Senior Scientist are responsible for model development and implementation, data architecture, prototyping, and ideation. You will be a part of the efforts to identify and analyze current and future data-centric technology patterns and trends, perform in-depth investigation, and experimentation with emerging platforms and frameworks. The right candidate for this role will be able to leverage statistical and programming knowledge to transform data into actionable insights.",4.8,Valkyrie Intelligence,Austin,-1,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,112500.0,0
573,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry.",3.8,"FireEye, Inc.",Austin,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
576,Data Scientist,"$165,000 /yr (est.)","Data Scientist ($160-170 yr) Must have professional experience as a Data Scientist
This is an opportunity to take part in doing BIG things for the advancement of ad technology and online advertising.You’ll lead the effort in analyzing large & complex datasets, using machine learning to identify key factors of ad campaign performances and focus on building better solutions using data.
The Data Science team builds applications and data-enabled solutions which includes online and offline data across multiple screens on mobile and desktop for video, social, search and display advertising.
You'll work with Big Data, driving projects that will have a significant impact; uncovering patterns and building predictions using data, algorithms, machine learning and AI techniques.",-1,"IdentifyUp, Inc.",Austin,-1,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,165000.0,0
578,Data Scientist,"$105,050 /yr (est.)","The Role: Data Scientist

The Location: Office in Colorado, open to virtual employment

The Level: 10 (internal purposes)

The Team: The S&P Global Ratings Data Science team combines automation, machine learning, and data engineering to improve the delivery of Ratings data & content to our analysts and customers. The team sits within the organizations Operating Office and works in close partnership with all teams throughout the organization.

You will be a part of key transformation projects aiming to streamline and automate our data processes: sourcing, collection, tagging, linking, extraction, translation, and other manual processes.

In doing so, you will build relationships across the division to generate and unlock new and existing data for content delivery through technological advancements using intelligent automation, data science, and coding design principles.

Projects will span the entirety of the data and content value chain enhancing customer satisfaction, and driving business results and growth through the timely and accurate delivery of fundamentals, ratings and reference data.

You will be a key member of the S&P Global Ratings Data Science team, playing a key role in developing intelligent automation solutions for our data and content generation processes. You will work with technology, business and operations teams in this role, driving and executing on automation improvement opportunities to expand our capabilities around making our data value chain processes more efficient.


S&P Global states that the anticipated base salary range for this position is $68,300 to $141,800. Base salary ranges may vary by geographic location.

In addition to base compensation, this role is eligible for an annual incentive plan.

This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .


Execute and serve as lead and/or SME on cross-organizational and cross-divisional projects automating our data value chain processes through automation, and new technologies

Design solutions and develop automation capabilities, such sourcing, collection, ingestion, extraction, transformation, translation, linking, and tagging

Mentor junior team members on coding best practices

Support digitization of datasets and accelerate digitization of new data identified by the Content and Data Operations teams

Serve as a source of knowledge for the Data Science team for process improvement, automation (Python, Alteryx, SQL, etc), and new technologies available to enable best-in-class timeliness and data coverage

Develop skills for ‘listening to learn’ with the express goal of understanding processes and associated problems which enable efficient, automated solutions

Review business processes and rules to understand potential repeatable processes and engage affected teams to consult on automation solutions

Be a strong partner with all the teams and stakeholders your projects and work involve

Monitor market trends in the data science/automation space identifying and onboarding new technologies and solutions to address business needs

Demonstrate innovation, customer focus, and experimentation mindsets


Python, SQL or other programming languages

DevOps/DataOps, Django, Algorithms/Algorithm design, NLP, Machine Learning, Data Mining, Docker, Linux, Process Engineering

Proven track record as a high-performing practitioner and strong executor, particularly in content-related domain

Strong domain knowledge & content expertise within Credit Rating Agencies a significant plus

Ability to quickly build credibility and relationships across multiple global teams

Ability to work effectively within and across teams, foster collaboration

Aptitude to communicate and deliver on projects, strong prioritization and organization skills

Strong communication skills. This includes translating technical details into concepts for non-technical audiences

Strong problem-solving skills. Able to quickly identify and understand issues and drive towards effective resolution

Experience as part of a team that leverages Agile

Strong familiarity with latest technologies to accelerate data operations

3-5 years of relevant experience

Bachelor's degree or equivalent experience required; advanced degree preferred

About S&P Global Ratings

S&P Global Ratings is the world’s leading provider of independent credit ratings. Our ratings are essential to driving growth, providing transparency and helping educate market participants so they can make decisions with confidence. We have more than 1 million credit ratings outstanding on government, corporate, financial sector and structured finance entities and securities. We offer an independent view of the market built on a unique combination of broad perspective and local insight. We provide our opinions and research about relative credit risk; market participants gain independent information to help support the growth of transparent, liquid debt markets worldwide.

SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/ratings .

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.


The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

#LI-MB1

IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

263209
2021-07-22
Centennial, Colorado, United States",4.1,S&P Global,Austin,-1,10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),-1,105050.0,0
579,Data Scientist,"$110,000 /yr (est.)","OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.

The Opportunity:
The AI Data Scientist will focus on business analysis, data analysis, and model building in support of the delivery of AI and Analytics to our OpenText teams. This individual will be a professional that is self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, dynamic environment.

You are great at:
Working with business teams in all parts of the business to gather conceptual business needs, translate them into clear functional business requirements
Create process models, diagrams, charts, PowerPoint presentations
Work with technical teams and/or study relational database tables to create Technical Data Requirements from the Business Requirements
Build data models in Python or R using a Magellan Notebook
Work with application support, product management, and engineering teams on quarterly upgrades and feature requests for Magellan product suite
Self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, matrixed environment
Perform data preparation, linkage, and feature selection
Calculating model accuracy
Reporting and visualizing results/insights
Provide end-user support and training as needed


Bachelor’s degree in Computer Science, Engineering, Business or equivalent experience
5 + years of proven abilities related to data analysis, reporting, analytics, and data modeling
Experience working with data in databases
Experience with SQL, Python, and R
Excellent listening, interpersonal, written, and oral communication skills
Experience with OpenText Magellan preferred
Experience working in a complex, matrix, fast-paced environment
Attention to detail with emphasis on accuracy and quality
Ability to prioritize work to balance multiple projects and deadlines
The ability to work independently, as part of a team, and cross-functionally within the organization

95K - 125K

While OpenText is an Equal Opportunity Employer, our efforts to build an inclusive work environment go beyond simply complying with applicable laws. Our Employment Equity and Diversity Policy provides direction on maintaining a working environment that is inclusive of everyone, regardless of culture, national origin, race, color, gender, gender identification, sexual orientation, family status, age, veteran status, disability, religion, or other basis protected by applicable laws. Should you require accommodations during the selection process, please contact accomodationrequests@opentext.com ).",3.6,opentext,Austin,-1,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,110000.0,0
593,Senior Data Scientist,"$112,500 /yr (est.)","Senior Data Scientist Job Description
Location: Based in Austin, TX
Travel: 0-20%
About Us:
At Valkyrie, we are scientists, innovators and strategists on a mission to advance the field of data science and put our cutting-edge technology to work on humanity's biggest challenges. We champion integrity, ingenuity and inclusion. We see opportunity in adversity and believe in creating a brighter, more human future with thoughtfully designed solutions. We seek leaders in the fields of science and strategy who think with both sides of their brains and are deeply committed to serving clients and their customers.
Senior Scientist Position:
The Senior Scientist is the right fit for a motivated scientist that is excited to be part of a growing business and is passionate about finding insights in data through the scientific method. We are looking for candidates who are interested in analyzing data, developing models based on that data and transforming the outputs of those models to valuable insights. As a Senior Scientist you should have good experience with algorithmic development, statistical analysis, machine learning, and some experience with database architecture. You have demonstrated scientific excellence and aptitude for innovation. Senior Scientist are responsible for model development and implementation, data architecture, prototyping, and ideation. You will be a part of the efforts to identify and analyze current and future data-centric technology patterns and trends, perform in-depth investigation, and experimentation with emerging platforms and frameworks. The right candidate for this role will be able to leverage statistical and programming knowledge to transform data into actionable insights.",4.8,Valkyrie Intelligence,Austin,-1,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,112500.0,0
2,Staff Data Scientist - Remote USA,"$150,000 /yr (est.)","Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description",3.8,"FireEye, Inc.",Boston,-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,150000.0,0
16,Project Moderator (AI/Machine Learning),$8.31 /hr (est.),"TELUS International is looking for Project Moderators for a short-term, onsite video study.
Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following cities: Charlotte, NC; Dallas, TX; Detroit, MI; Boston, MA; Philadelphia, PA; Seattle, WA
Project Summary
This is an Artificial Intelligence Data Collection project about Interactions between a user (participant) and a phone device but will include certain interactions with the onsite Project Moderator since the participant will need to follow instructions provided. Once the Moderator has finished collecting the data from the participant, they will qualify the results from the participant’s interactions with the phone device.",3.8,TELUS,Boston,-1,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,16620.0,1
18,Jr. Data Scientist/Machine Learning Engineer,"$100,000 /yr (est.)","Job description
AWE Technologies is a small R&D firm, with our main office located in Bay Shore, NY. AWE develops sensor technologies for medical, industrial, and commercial applications. We are currently seeking a Jr. Machine Learning (ML) Engineer/Data Scientist to work from our Boston, MA location. You will help develop ML algorithms for a variety of internal and externally funded projects. We are seeking individuals with a general background in ML approaches with a demonstrated knowledge of Deep Learning (DL) architectures and frameworks with emphasis on developing DL based classification algorithm for time-series data. The Jr. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in data science and programming.
Responsibilities",-1,AWE Technologies,Boston,-1,-1,-1,-1,-1,-1,-1,-1,100000.0,0
